Epoch,Train_Loss,Valid_Loss,Train_Acc,Valid_Acc
1,1.3669,0.8813,0.502,0.6654
2,0.7187,0.6131,0.7259,0.762
3,0.5569,0.5102,0.786,0.8048
4,0.4724,0.4497,0.8225,0.8313
5,0.4131,0.3802,0.8475,0.863
6,0.3682,0.3532,0.8624,0.8693
7,0.3425,0.3266,0.8733,0.8799
8,0.3222,0.3195,0.8806,0.8824
9,0.3103,0.3216,0.8856,0.8821
10,0.2909,0.3044,0.8913,0.8877
11,0.2759,0.2871,0.8983,0.8959
12,0.2685,0.2706,0.9013,0.8992
13,0.2577,0.2762,0.9041,0.8986
14,0.2498,0.2671,0.9065,0.9005
15,0.2464,0.2779,0.9075,0.8983
16,0.2352,0.2648,0.913,0.9043
17,0.2237,0.257,0.9169,0.9088
18,0.2154,0.2531,0.9202,0.9074
19,0.2136,0.2628,0.9198,0.9047
20,0.2027,0.2455,0.9256,0.9109
21,0.1964,0.2438,0.9266,0.909
22,0.1892,0.2336,0.9294,0.9159
23,0.1815,0.2442,0.9326,0.9133
24,0.1737,0.239,0.9351,0.9133
25,0.172,0.2306,0.9355,0.9184
26,0.1617,0.2319,0.9389,0.9187
27,0.1552,0.2286,0.9419,0.9217
28,0.1472,0.2354,0.9446,0.9165
29,0.146,0.2357,0.9454,0.9191
30,0.1415,0.2356,0.9458,0.9164
31,0.1346,0.2395,0.9493,0.9198
32,0.1306,0.2281,0.9508,0.9226
33,0.1198,0.2355,0.9553,0.9227
34,0.1182,0.2342,0.9549,0.9217
35,0.1127,0.24,0.9572,0.9223
36,0.1029,0.2439,0.961,0.9223
37,0.1027,0.2493,0.9613,0.921
38,0.0971,0.2582,0.9631,0.9195
39,0.0931,0.2591,0.966,0.9193
40,0.093,0.261,0.9645,0.9207
41,0.0841,0.2721,0.9685,0.9184
42,0.0798,0.2647,0.9705,0.9231
43,0.0745,0.2959,0.9717,0.9209
44,0.0725,0.2755,0.9722,0.9245
45,0.0686,0.2872,0.9741,0.9238
46,0.0638,0.2933,0.9762,0.9237
47,0.061,0.3053,0.9771,0.9242
48,0.0534,0.3157,0.9803,0.9227
49,0.0559,0.2842,0.9781,0.9241
50,0.0542,0.3027,0.9797,0.9213
