Epoch,Train_Loss,Valid_Loss,Train_Acc,Valid_Acc
1,1.1352,0.3001,0.6101,0.9024
2,0.1771,0.1131,0.9442,0.9645
3,0.0956,0.0769,0.9703,0.9762
4,0.0704,0.0679,0.9779,0.9779
5,0.0578,0.0569,0.9819,0.9812
6,0.0473,0.0455,0.9854,0.9857
7,0.0383,0.0433,0.9878,0.9872
8,0.0342,0.0431,0.989,0.9861
9,0.0293,0.0434,0.9905,0.9863
10,0.0286,0.0346,0.9908,0.9884
11,0.0255,0.0326,0.9918,0.99
12,0.024,0.0343,0.9923,0.99
13,0.0213,0.0287,0.9932,0.9903
14,0.0163,0.0315,0.9948,0.9908
15,0.0148,0.0306,0.9952,0.9903
16,0.0155,0.0361,0.9948,0.9885
17,0.0129,0.0327,0.9958,0.9909
18,0.0107,0.0301,0.9962,0.9923
19,0.0098,0.029,0.9971,0.9916
20,0.0087,0.0322,0.9973,0.9912
21,0.0099,0.0327,0.9968,0.9915
22,0.0089,0.0323,0.9972,0.991
23,0.008,0.0301,0.9976,0.9928
24,0.0076,0.0354,0.9974,0.9916
25,0.0065,0.0289,0.9979,0.9927
26,0.0048,0.0312,0.9984,0.9919
27,0.0046,0.0311,0.9986,0.9925
28,0.0048,0.0326,0.9984,0.9926
29,0.0045,0.032,0.9983,0.9924
30,0.0049,0.0307,0.9985,0.9931
31,0.004,0.0333,0.9986,0.9926
32,0.0055,0.0341,0.9979,0.9919
33,0.005,0.0343,0.9983,0.9926
34,0.0042,0.0348,0.9986,0.9914
35,0.004,0.0383,0.9987,0.991
36,0.004,0.0398,0.9987,0.9917
37,0.005,0.0408,0.9982,0.9915
38,0.0069,0.0311,0.9975,0.9922
39,0.003,0.0331,0.9993,0.9934
40,0.0032,0.0309,0.9988,0.9932
41,0.0035,0.0362,0.9989,0.9922
42,0.0027,0.0348,0.999,0.9929
43,0.0022,0.0331,0.9992,0.993
44,0.002,0.0409,0.9994,0.993
45,0.0029,0.0343,0.9991,0.9928
46,0.0029,0.0348,0.9989,0.9932
47,0.0025,0.0341,0.9992,0.994
48,0.0024,0.0336,0.9993,0.9927
49,0.0026,0.044,0.9991,0.9923
50,0.0029,0.0344,0.999,0.992
