Epoch,Train_Loss,Valid_Loss,Train_Acc,Valid_Acc
1,2.302,2.3001,0.1072,0.1124
2,2.2676,2.2157,0.1472,0.2085
3,2.1925,2.1451,0.2395,0.2907
4,2.1172,2.0568,0.3412,0.4341
5,1.989,1.9276,0.4871,0.5522
6,1.8503,1.7606,0.6584,0.7412
7,1.713,1.6818,0.7742,0.7936
8,1.6631,1.6496,0.8097,0.8201
9,1.6402,1.634,0.8283,0.8346
10,1.6256,1.6224,0.8412,0.8434
11,1.6167,1.6145,0.8493,0.8495
12,1.6103,1.6101,0.8546,0.8547
13,1.6046,1.6026,0.8595,0.8605
14,1.5798,1.5566,0.8908,0.9183
15,1.5418,1.5332,0.9307,0.9361
16,1.5249,1.5234,0.9433,0.9439
17,1.5152,1.514,0.9521,0.9528
18,1.5097,1.5107,0.9568,0.9544
19,1.5055,1.5059,0.9599,0.9595
20,1.5012,1.5029,0.964,0.9618
21,1.4981,1.5011,0.9669,0.9627
22,1.4954,1.4975,0.9689,0.9667
23,1.4927,1.4963,0.9721,0.9688
24,1.4908,1.4947,0.973,0.9696
25,1.4895,1.4936,0.9747,0.9703
26,1.4882,1.4914,0.9756,0.972
27,1.4857,1.4899,0.9785,0.9735
28,1.4842,1.49,0.98,0.9732
29,1.484,1.49,0.98,0.9732
30,1.4821,1.4869,0.9816,0.9769
31,1.4809,1.4857,0.9829,0.9772
32,1.4802,1.4853,0.9834,0.9779
33,1.4802,1.4862,0.9835,0.9764
34,1.4794,1.4851,0.9839,0.9781
35,1.4781,1.4843,0.9851,0.9784
36,1.4779,1.4849,0.9856,0.9777
37,1.4774,1.4842,0.9857,0.9788
38,1.4761,1.482,0.9869,0.981
39,1.4751,1.4829,0.9879,0.9798
40,1.4751,1.4821,0.9879,0.9804
41,1.4746,1.4809,0.9887,0.9822
42,1.4738,1.4813,0.9893,0.9818
43,1.4731,1.4805,0.9899,0.9818
44,1.4737,1.4803,0.9894,0.9824
45,1.4727,1.4798,0.9903,0.9829
46,1.4719,1.4789,0.9909,0.9838
47,1.4722,1.4807,0.9905,0.9818
48,1.4716,1.4791,0.9912,0.9834
49,1.4711,1.4808,0.9918,0.9817
50,1.4711,1.4785,0.9919,0.984
