Epoch,Train_Loss,Valid_Loss,Train_Acc,Valid_Acc
1,1.0697,0.7102,0.598,0.7291
2,0.6198,0.5867,0.7623,0.7712
3,0.5229,0.5175,0.8018,0.8049
4,0.4662,0.4641,0.8264,0.8343
5,0.4301,0.4294,0.8416,0.8435
6,0.4045,0.4119,0.8507,0.8509
7,0.3828,0.4045,0.8595,0.8515
8,0.3643,0.3963,0.865,0.8558
9,0.3496,0.3728,0.8701,0.8639
10,0.3364,0.3617,0.876,0.8682
11,0.3264,0.3552,0.8792,0.8712
12,0.3176,0.3529,0.8824,0.8708
13,0.3089,0.3417,0.8862,0.8772
14,0.3009,0.3502,0.8888,0.8737
15,0.2928,0.3311,0.8907,0.8813
16,0.2858,0.3427,0.8925,0.8764
17,0.2795,0.3208,0.8955,0.8813
18,0.2736,0.3249,0.8973,0.8817
19,0.2683,0.313,0.8994,0.888
20,0.2623,0.3085,0.9015,0.8894
21,0.2588,0.3233,0.9023,0.8837
22,0.2532,0.3069,0.9054,0.8908
23,0.2478,0.3061,0.908,0.8894
24,0.2446,0.3195,0.908,0.8848
25,0.2386,0.3118,0.91,0.8861
26,0.2354,0.2946,0.9115,0.8938
27,0.2302,0.3011,0.9134,0.8912
28,0.2261,0.3177,0.9149,0.885
29,0.2236,0.3033,0.9151,0.8928
30,0.2185,0.2915,0.9178,0.895
31,0.2159,0.3089,0.9191,0.8865
32,0.2121,0.2867,0.9206,0.8978
33,0.2076,0.2895,0.9216,0.8982
34,0.2042,0.2904,0.9231,0.899
35,0.2005,0.294,0.9248,0.8981
36,0.1978,0.2913,0.9252,0.8959
37,0.1933,0.2947,0.9281,0.8948
38,0.1917,0.2977,0.9274,0.8967
39,0.1881,0.2918,0.9288,0.9001
40,0.1852,0.2909,0.9304,0.8984
41,0.1794,0.2938,0.9327,0.8993
42,0.1788,0.2924,0.9327,0.8999
43,0.1748,0.2967,0.934,0.8957
44,0.1719,0.294,0.9352,0.8989
45,0.17,0.2933,0.9357,0.9016
46,0.1662,0.2982,0.9372,0.8998
47,0.1644,0.2949,0.9382,0.8997
48,0.1603,0.2971,0.9387,0.8986
49,0.157,0.2948,0.9406,0.9013
50,0.1566,0.3036,0.9417,0.8992
