Epoch,Train_Loss,Valid_Loss,Train_Acc,Valid_Acc
1,0.8814,0.397,0.6761,0.8566
2,0.3599,0.3376,0.8681,0.8737
3,0.2858,0.2761,0.8942,0.8972
4,0.2533,0.2757,0.908,0.9046
5,0.2284,0.2579,0.9158,0.9077
6,0.2085,0.2423,0.9245,0.9134
7,0.1984,0.232,0.9276,0.9181
8,0.1807,0.2633,0.9336,0.9122
9,0.173,0.2326,0.9353,0.9197
10,0.1609,0.2551,0.9415,0.9135
11,0.1458,0.2514,0.9467,0.9171
12,0.1374,0.2615,0.9494,0.9173
13,0.1228,0.2992,0.9552,0.916
14,0.1147,0.2663,0.9592,0.9222
15,0.0989,0.3038,0.9642,0.9181
16,0.0943,0.2857,0.965,0.9191
17,0.0868,0.3155,0.9688,0.9181
18,0.0801,0.3757,0.9715,0.9193
19,0.0773,0.3705,0.9728,0.9104
20,0.0695,0.3424,0.9751,0.9148
