Epoch,Train_Loss,Valid_Loss,Train_Acc,Valid_Acc
1,0.6971,0.0973,0.7868,0.9688
2,0.0988,0.0629,0.9697,0.9805
3,0.0729,0.0627,0.978,0.9799
4,0.064,0.0511,0.9809,0.9866
5,0.053,0.0471,0.9837,0.9862
6,0.0498,0.0694,0.986,0.9843
7,0.0416,0.0579,0.987,0.9818
8,0.0416,0.048,0.9867,0.9873
9,0.0316,0.0403,0.99,0.9889
10,0.0285,0.0602,0.9912,0.9839
11,0.0512,0.0338,0.9853,0.9893
12,0.0258,0.0502,0.9918,0.986
13,0.0266,0.0403,0.9915,0.9899
14,0.0198,0.0388,0.9937,0.9911
15,0.0229,0.0416,0.9931,0.9882
16,0.0274,0.036,0.9916,0.9909
17,0.0193,0.0442,0.9937,0.9896
18,0.0233,0.0371,0.9929,0.9887
19,0.0233,0.0455,0.9927,0.9884
20,0.0233,0.0429,0.9928,0.9888
